"Municipal and City Level Small Area Poverty Estimates; 2006, 2009 and 2012",,,,,,,,,,,,,,,,,,,,,,,,,,
Region/Province,,,Municipality/City,,,,,,,Poverty Incidence,,,,,,Coefficient of Variation*,,,,90% Confidence Interval,,,,,,
,,,,,,,,,,,,,,,,,,,,2006,,2009,,2012,,
,,,Belizon,,,,,,,20.3,,25.8,,11.2,,21.0,19.6,31.2,,13.3,27.3,17.5,34.2,5.4,16.9,
,,,Bugasong,,,,,,,31.5,,39.7,,22.5,,10.7,8.3,12.6,,26.0,37.0,34.2,45.1,17.8,27.2,
,,,Caluya,,,,,,,43.4,,49.7,,24.7,,11.6,11.3,16.9,,35.2,51.7,40.5,58.9,17.8,31.6,
,,,Culasi,,,,,,,33.6,,37.2,,22.1,,8.6,8.6,11.7,,28.9,38.3,31.9,42.5,17.8,26.3,
,,,Tobias Fornier,,,,,,,31.1,,44.1,,20.9,,9.7,8.1,11.9,,26.1,36.0,38.2,50.0,16.8,25.0,
,,,Hamtic,,,,,,,30.6,,38.5,,15.5,,9.8,8.9,12.3,,25.7,35.6,32.9,44.1,12.4,18.7,
,,,Lauan-an,,,,,,,36.1,,42.1,,25.9,,10.1,9.5,11.5,,30.1,42.1,35.5,48.7,21.0,30.8,
,,,Libertad,,,,,,,36.4,,37.3,,21.7,,12.0,13.2,16.3,,29.2,43.6,29.1,45.4,15.9,27.5,
,,,Pandan,,,,,,,33.9,,40.1,,20.9,,8.9,9.2,13.1,,28.9,38.9,34.0,46.1,16.4,25.4,
,,,Patnongon,,,,,,,33.7,,41.8,,26.4,,11.4,9.8,11.8,,27.4,40.0,35.0,48.6,21.3,31.5,
,,,San Jose,,,,,,,12.6,,23.8,,8.3,,14.0,12.5,24.3,,9.7,15.6,18.9,28.7,5.0,11.6,
,,,San Remigio,,,,,,,52.0,,55.5,,35.9,,7.3,7.3,9.4,,45.7,58.3,48.8,62.1,30.4,41.4,
,,,Sebaste,,,,,,,35.1,,43.0,,24.2,,15.5,14.4,20.0,,26.2,44.1,32.8,53.1,16.2,32.1,
,,,Sibalom,,,,,,,33.1,,37.5,,21.2,,8.3,7.5,10.9,,28.6,37.6,32.9,42.1,17.4,25.0,
,,,Tibiao,,,,,,,31.7,,49.6,,22.2,,12.0,8.7,14.0,,25.4,37.9,42.5,56.7,17.1,27.3,
,,,Valderama,,,,,,,34.2,,43.5,,30.2,,11.5,8.4,11.6,,27.7,40.7,37.5,49.5,24.4,35.9,
Capiz,,,Cuartero,,,,,,,40.9,,27.3,,33.5,,9.6,17.3,11.3,,34.4,47.3,19.5,35.0,27.2,39.7,
,,,Dao,,,,,,,30.2,,26.2,,28.2,,13.6,18.5,12.0,,23.4,36.9,18.2,34.2,22.6,33.8,
,,,Dumalag,,,,,,,38.4,,15.6,,24.7,,10.6,24.4,11.6,,31.7,45.1,9.4,21.9,20.0,29.4,
,,,Dumarao,,,,,,,41.2,,26.7,,33.4,,7.9,16.7,10.7,,35.9,46.6,19.4,34.0,27.5,39.3,
,,,Ivisan,,,,,,,28.0,,20.2,,31.7,,15.3,22.6,13.6,,21.0,35.1,12.7,27.7,24.6,38.7,
,,,Jamindan,,,,,,,47.3,,32.8,,35.5,,8.2,13.6,9.5,,41.0,53.7,25.5,40.1,29.9,41.0,
,,,Ma-ayon,,,,,,,49.7,,25.5,,39.9,,6.3,15.7,8.6,,44.6,54.9,18.9,32.1,34.3,45.6,
,,,Mambusao,,,,,,,40.2,,19.4,,26.5,,9.0,18.5,12.1,,34.2,46.1,13.5,25.4,21.2,31.7,
,,,Panay,,,,,,,23.9,,23.1,,30.8,,16.6,15.0,8.6,,17.4,30.4,17.4,28.8,26.5,35.1,
,,,Panitan,,,,,,,28.0,,22.1,,29.7,,9.7,18.6,10.8,,23.5,32.4,15.3,28.8,24.4,34.9,
,,,Pilar,,,,,,,45.9,,22.2,,36.6,,7.5,18.7,10.3,,40.2,51.5,15.3,29.0,30.4,42.8,
,,,Pontevedra,,,,,,,33.6,,17.8,,29.1,,10.2,19.5,12.7,,28.0,39.2,12.1,23.4,23.0,35.1,
,,,President Roxas,,,,,,,31.8,,20.4,,28.6,,12.8,21.7,13.5,,25.1,38.5,13.1,27.7,22.3,35.0,
,,,Roxas City,,,,,,,17.3,,12.1,,12.6,,10.2,22.4,14.7,,14.4,20.2,7.6,16.5,9.5,15.6,
,,,Sapi-An,,,,,,,40.1,,24.3,,29.7,,10.7,20.1,16.8,,33.1,47.2,16.2,32.3,21.5,37.9,
,,,Sigma,,,,,,,36.5,,17.5,,28.2,,10.3,21.0,11.7,,30.3,42.7,11.4,23.5,22.8,33.6,
,,,Tapaz,,,,,,,47.9,,29.0,,33.8,,7.2,12.3,8.3,,42.2,53.6,23.1,34.8,29.2,38.5,
Iloilo,,,Ajuy,,,,,,,34.8,,30.9,,30.6,,10.6,11.5,10.3,,28.7,40.9,25.1,36.7,25.4,35.8,
,,,Alimodian,,,,,,,36.5,,30.4,,26.6,,8.6,13.2,10.4,,31.4,41.7,23.8,37.0,22.1,31.2,
,,,Anilao,,,,,,,30.3,,31.5,,27.3,,12.4,14.2,12.3,,24.1,36.5,24.1,38.9,21.8,32.9,
,,,Badiangan,,,,,,,23.1,,18.5,,16.8,,10.9,15.8,12.2,,19.0,27.2,13.7,23.3,13.4,20.2,
,,,Balasan,,,,,,,24.0,,30.4,,24.1,,10.5,12.9,12.8,,19.9,28.1,24.0,36.9,19.0,29.2,
,,,Banate,,,,,,,26.6,,19.8,,24.2,,15.1,16.6,14.2,,20.0,33.1,14.4,25.2,18.5,29.8,
,,,Barotac Nuevo,,,,,,,19.7,,15.9,,17.6,,10.6,15.9,11.0,,16.3,23.1,11.7,20.1,14.4,20.8,
,,,Barotac Viejo,,,,,,,35.2,,26.2,,25.4,,9.5,14.5,12.0,,29.7,40.7,20.0,32.5,20.4,30.4,
,,,Batad,,,,,,,46.9,,33.1,,34.5,,9.7,14.3,14.4,,39.4,54.4,25.3,40.9,26.4,42.7,
,,,Bingawan,,,,,,,38.4,,26.8,,26.3,,12.6,20.7,17.5,,30.5,46.4,17.7,35.9,18.7,33.9,
,,,Cabatuan,,,,,,,24.6,,15.2,,15.9,,8.3,13.1,10.5,,21.3,28.0,11.9,18.5,13.1,18.6,
,,,Calinog,,,,,,,29.8,,29.6,,27.0,,8.2,11.8,9.7,,25.7,33.8,23.9,35.4,22.7,31.3,
,,,Carles,,,,,,,51.5,,46.8,,35.8,,7.4,11.1,9.8,,45.2,57.7,38.2,55.3,30.0,41.6,
,,,Concepcion,,,,,,,47.4,,48.4,,36.8,,9.1,9.6,11.2,,40.3,54.5,40.8,56.0,30.0,43.6,
,,,Dingle,,,,,,,22.7,,17.3,,21.8,,9.6,16.2,11.1,,19.1,26.2,12.7,22.0,17.8,25.7,
,,,Duenas,,,,,,,30.7,,22.3,,25.3,,8.4,13.9,11.0,,26.5,35.0,17.2,27.4,20.7,29.9,
,,,Dumangas,,,,,,,25.2,,16.0,,21.4,,7.7,14.5,11.2,,22.0,28.4,12.2,19.8,17.4,25.3,
,,,Estancia,,,,,,,30.3,,22.1,,26.1,,11.3,14.3,12.2,,24.7,35.9,16.9,27.3,20.9,31.3,
,,,Guimbal,,,,,,,21.0,,15.8,,11.4,,12.9,15.0,15.2,,16.6,25.5,11.9,19.7,8.6,14.3,
,,,Igbaras,,,,,,,33.0,,29.2,,22.5,,11.0,12.8,10.5,,27.0,39.0,23.0,35.4,18.6,26.4,
,,,Iloilo City,,,,,,,4.9,,7.6,,6.0,,17.4,13.3,19.2,,3.5,6.4,5.9,9.2,4.1,7.9,
,,,Janiuay,,,,,,,27.1,,25.8,,25.3,,9.5,10.9,9.1,,22.9,31.3,21.2,30.5,21.5,29.0,
,,,Lambunao,,,,,,,40.7,,23.2,,26.6,,8.3,14.1,9.4,,35.1,46.2,17.8,28.5,22.5,30.7,
,,,Leganes,,,,,,,14.0,,15.2,,10.1,,16.2,18.8,24.7,,10.3,17.7,10.5,19.9,6.0,14.2,
,,,Lemery,,,,,,,34.8,,33.8,,28.3,,10.2,12.3,11.1,,29.0,40.7,27.0,40.7,23.1,33.5,
,,,Leon,,,,,,,35.3,,33.7,,24.0,,8.0,13.1,8.4,,30.6,39.9,26.4,40.9,20.6,27.3,
,,,Maasin,,,,,,,37.4,,22.6,,28.3,,7.4,12.1,9.7,,32.9,42.0,18.1,27.0,23.8,32.8,
,,,Miag-ao,,,,,,,28.1,,26.1,,18.8,,7.9,11.0,9.8,,24.4,31.7,21.4,30.8,15.8,21.8,
,,,Mina,,,,,,,21.2,,15.5,,24.3,,14.9,18.5,13.4,,16.0,26.4,10.8,20.3,19.0,29.6,
,,,New Lucena,,,,,,,26.9,,16.8,,16.6,,12.9,17.3,15.5,,21.2,32.6,12.0,21.6,12.3,20.8,
,,,Oton,,,,,,,18.0,,15.8,,10.5,,12.4,14.2,16.8,,14.4,21.7,12.1,19.5,7.6,13.4,
,,,Passi City,,,,,,,36.5,,24.5,,25.1,,7.3,12.0,9.3,,32.1,40.8,19.6,29.3,21.3,29.0,
,,,Pavia,,,,,,,10.6,,10.2,,8.6,,18.1,20.3,23.8,,7.4,13.7,6.8,13.6,5.2,12.0,
,,,Pototan,,,,,,,18.8,,17.3,,18.9,,10.8,13.9,9.7,,15.5,22.2,13.4,21.3,15.9,21.9,
,,,San Dionisio,,,,,,,43.2,,42.3,,32.7,,9.2,10.9,10.1,,36.6,49.7,34.7,49.8,27.3,38.1,
,,,San Enrique,,,,,,,34.5,,28.3,,26.2,,8.7,13.0,11.6,,29.5,39.4,22.3,34.4,21.2,31.2,
,,,San Joaquin,,,,,,,36.1,,38.3,,28.1,,7.2,10.8,9.1,,31.8,40.4,31.4,45.1,23.9,32.3,
,,,San Miguel,,,,,,,18.4,,17.9,,14.3,,15.0,15.9,16.9,,13.9,23.0,13.2,22.6,10.3,18.2,
,,,San Rafael,,,,,,,39.0,,30.1,,28.4,,14.3,17.5,17.1,,29.9,48.2,21.4,38.7,20.4,36.4,
,,,Santa Barbara,,,,,,,14.7,,13.5,,13.1,,12.3,14.5,13.5,,11.7,17.6,10.3,16.8,10.2,16.1,
,,,Sara,,,,,,,31.7,,24.1,,26.1,,8.1,12.9,10.8,,27.5,35.9,19.0,29.2,21.4,30.7,
,,,Tigbauan,,,,,,,24.9,,23.3,,19.1,,7.9,12.9,10.6,,21.6,28.1,18.4,28.3,15.8,22.5,
,,,Tubungan,,,,,,,37.4,,35.5,,28.4,,6.5,11.8,9.5,,33.4,41.4,28.6,42.4,24.0,32.9,
,,,Zarraga,,,,,,,12.2,,15.4,,16.8,,19.4,16.7,14.1,,8.3,16.1,11.2,19.7,12.9,20.7,
Negros Occidental,,,Bacolod City,,,,,,,3.4,,11.2,,3.2,,29.3,18.2,30.7,,1.8,5.1,7.8,14.5,1.6,4.8,
,,,Bago City,,,,,,,21.2,,20.7,,20.6,,13.6,14.5,15.5,,16.5,26.0,15.8,25.7,15.3,25.8,
,,,Binalbagan,,,,,,,23.4,,28.9,,16.6,,17.0,15.1,18.9,,16.9,30.0,21.7,36.1,11.4,21.7,
,,,Cadiz City,,,,,,,26.2,,27.3,,24.7,,16.0,12.5,15.2,,19.3,33.1,21.7,32.9,18.5,30.8,
,,,Calatrava,,,,,,,38.3,,39.1,,33.0,,8.4,8.7,11.4,,33.0,43.6,33.5,44.7,26.8,39.2,
,,,Candoni,,,,,,,45.0,,41.9,,29.4,,13.7,12.4,14.9,,34.9,55.2,33.3,50.4,22.2,36.6,
,,,Cauayan,,,,,,,44.2,,55.2,,31.2,,10.3,8.6,10.8,,36.7,51.6,47.4,62.9,25.6,36.7,
,,,Enrique B. Magalona,,,,,,,21.9,,24.7,,20.3,,12.6,12.8,14.0,,17.4,26.4,19.5,29.8,15.6,25.0,
,,,Escalante City,,,,,,,27.8,,25.6,,23.5,,13.8,14.8,15.1,,21.5,34.2,19.3,31.8,17.7,29.4,
,,,Himamaylan City,,,,,,,30.5,,31.4,,23.5,,11.8,11.4,15.6,,24.5,36.4,25.5,37.3,17.5,29.5,
,,,Hinigaran,,,,,,,29.1,,30.6,,16.6,,11.1,12.6,17.2,,23.8,34.4,24.2,36.9,11.9,21.3,
,,,Hinoba-An (Asia),,,,,,,34.0,,52.8,,30.4,,14.3,10.9,14.8,,26.0,42.0,43.4,62.3,23.0,37.7,
,,,Ilog,,,,,,,27.0,,39.1,,24.2,,13.7,12.4,16.5,,20.9,33.0,31.1,47.0,17.6,30.8,
,,,Isabela,,,,,,,36.1,,33.8,,27.3,,8.6,11.7,12.1,,31.0,41.2,27.3,40.3,21.9,32.7,
,,,Kabankalan City,,,,,,,35.4,,40.9,,25.8,,10.3,7.8,13.2,,29.4,41.4,35.6,46.1,20.2,31.4,
,,,La Carlota City,,,,,,,17.9,,19.3,,10.3,,15.4,17.5,21.0,,13.3,22.4,13.7,24.8,6.8,13.9,
,,,La Castellana,,,,,,,32.4,,29.7,,29.6,,16.9,17.6,16.1,,23.4,41.5,21.1,38.3,21.7,37.4,
,,,Manapla,,,,,,,26.9,,28.4,,24.6,,18.6,16.8,18.5,,18.7,35.2,20.5,36.2,17.1,32.1,
,,,Moises Padilla (Magallon),,,,,,,40.4,,40.6,,32.5,,14.0,13.5,15.9,,31.1,49.7,31.6,49.7,24.0,41.1,
,,,Murcia,,,,,,,25.1,,20.7,,23.3,,13.5,18.4,15.6,,19.5,30.7,14.5,27.0,17.3,29.2,
,,,Pontevedra,,,,,,,20.1,,20.4,,18.3,,18.5,16.1,17.3,,14.0,26.2,15.0,25.8,13.1,23.6,
,,,Pulupandan,,,,,,,17.8,,24.6,,10.3,,11.8,13.1,20.8,,14.3,21.3,19.3,29.9,6.8,13.8,
,,,Sagay City,,,,,,,27.7,,28.0,,25.2,,14.9,11.6,13.9,,20.9,34.6,22.6,33.3,19.4,30.9,
,,,San Carlos City,,,,,,,28.0,,34.0,,23.2,,14.1,12.8,18.0,,21.5,34.5,26.9,41.2,16.3,30.0,
,,,San Enrique,,,,,,,21.3,,21.8,,12.3,,21.0,23.4,27.9,,14.0,28.7,13.4,30.2,6.7,17.9,
,,,Silay City,,,,,,,18.7,,17.6,,14.0,,17.3,21.2,21.3,,13.4,24.0,11.4,23.7,9.1,18.8,
,,,Sipalay City,,,,,,,39.4,,45.9,,29.1,,11.2,11.0,15.8,,32.2,46.7,37.6,54.2,21.6,36.7,
,,,Talisay City,,,,,,,11.1,,15.7,,10.4,,18.1,18.7,21.9,,7.8,14.4,10.9,20.5,6.6,14.1,
,,,Toboso,,,,,,,34.5,,31.8,,31.4,,18.1,19.2,18.5,,24.2,44.7,21.8,41.8,21.8,40.9,
,,,Valladolid,,,,,,,14.4,,21.2,,10.7,,18.7,16.3,21.4,,10.0,18.8,15.5,26.8,6.9,14.4,
,,,Victorias City,,,,,,,18.4,,19.2,,15.6,,16.2,15.4,19.7,,13.5,23.4,14.3,24.0,10.5,20.7,
,,,Salvador Benedicto,,,,,,,50.1,,55.9,,40.7,,15.7,14.6,21.1,,37.1,63.1,42.5,69.2,26.5,54.8,
Guimaras,,,Buenavista,,,,,,,22.5,,23.9,,16.3,,10.6,10.4,13.6,,18.5,26.4,19.8,28.0,12.6,19.9,
,,,Jordan,,,,,,,24.6,,17.7,,17.5,,13.9,18.4,17.3,,19.0,30.2,12.3,23.0,12.5,22.5,
,,,Nueva Valencia,,,,,,,29.7,,36.4,,19.0,,11.4,10.7,14.4,,24.2,35.3,30.0,42.8,14.5,23.6,
,,,San Lorenzo,,,,,,,45.4,,44.0,,28.7,,11.3,12.5,16.7,,37.0,53.8,34.9,53.1,20.8,36.6,
,,,Sibunag,,,,,,,42.1,,49.3,,28.4,,11.0,11.6,12.5,,34.5,49.7,39.9,58.8,22.6,34.2,
Region VII,,,,,,,,,,,,,,,,,,,,,,,,,,
Bohol,,,Alburquerque,,,,,,,24.8,,25.4,,15.9,,15.8,13.1,15.8,,18.4,31.2,20.0,30.9,11.8,20.1,
,,,Alicia,,,,,,,49.5,,53.7,,33.9,,10.9,8.4,11.1,,40.6,58.4,46.3,61.2,27.8,40.1,
,,,Anda,,,,,,,47.4,,49.6,,30.9,,9.6,8.5,11.0,,39.9,54.8,42.7,56.5,25.3,36.5,
,,,Antequera,,,,,,,49.9,,36.8,,18.5,,10.4,8.4,11.5,,41.4,58.4,31.7,41.9,15.0,21.9,
,,,Baclayon,,,,,,,25.1,,23.9,,15.1,,14.1,11.3,14.7,,19.3,30.9,19.4,28.3,11.4,18.7,
,,,Balilihan,,,,,,,48.3,,51.9,,31.3,,7.3,5.5,8.1,,42.4,54.1,47.1,56.6,27.2,35.4,
,,,Batuan,,,,,,,75.3,,46.8,,32.3,,7.4,7.3,9.2,,66.1,84.4,41.2,52.5,27.4,37.2,
,,,Bilar,,,,,,,43.9,,47.9,,22.6,,9.7,7.4,11.0,,36.9,51.0,42.1,53.7,18.5,26.6,
,,,Buenavista,,,,,,,56.2,,55.9,,45.5,,5.7,5.5,6.0,,50.9,61.5,50.8,61.0,40.9,50.0,
,,,Calape,,,,,,,39.9,,40.4,,25.4,,7.0,6.6,9.8,,35.4,44.5,36.0,44.8,21.3,29.5,
,,,Canduay,,,,,,,38.0,,52.3,,34.5,,10.8,5.8,7.9,,31.3,44.8,47.3,57.3,30.0,39.0,
,,,Carmen,,,,,,,75.0,,55.2,,38.4,,7.7,5.9,7.6,,65.5,84.5,49.8,60.5,33.6,43.2,
,,,Catigbian,,,,,,,64.3,,51.3,,37.0,,10.4,6.7,8.2,,53.3,75.3,45.6,56.9,32.0,42.0,
,,,Clarin,,,,,,,40.5,,39.2,,26.4,,8.6,8.4,9.5,,34.8,46.3,33.8,44.6,22.2,30.5,
,,,Corella,,,,,,,27.1,,32.0,,17.9,,18.2,12.9,17.2,,19.0,35.2,25.2,38.7,12.8,22.9,
,,,Cortes,,,,,,,26.4,,26.9,,15.9,,13.7,13.4,15.2,,20.5,32.3,21.0,32.8,11.9,19.8,
,,,Dagohoy,,,,,,,65.9,,56.0,,40.7,,7.1,7.5,10.2,,58.2,73.6,49.0,62.9,33.8,47.5,
,,,Danao,,,,,,,64.7,,62.1,,42.7,,7.4,6.4,9.9,,56.8,72.6,55.5,68.6,35.7,49.7,
,,,Dauis,,,,,,,40.5,,30.1,,17.0,,9.5,12.1,15.6,,34.2,46.8,24.1,36.1,12.7,21.4,
,,,Dimiao,,,,,,,45.1,,42.4,,30.6,,7.0,8.4,8.5,,39.9,50.3,36.6,48.3,26.3,34.9,
,,,Duero,,,,,,,38.0,,51.7,,29.6,,8.0,6.2,9.8,,33.0,43.0,46.4,57.0,24.9,34.4,
,,,Garcia Hernandez,,,,,,,35.3,,46.8,,28.0,,8.8,6.0,9.9,,30.2,40.4,42.2,51.4,23.5,32.6,
,,,Guindulman,,,,,,,41.2,,47.2,,30.3,,7.9,7.1,10.2,,35.8,46.6,41.7,52.7,25.2,35.3,
,,,Inabanga,,,,,,,48.5,,47.1,,34.7,,5.9,5.0,6.9,,43.8,53.2,43.2,51.0,30.8,38.7,
,,,Jagna,,,,,,,34.2,,36.4,,19.6,,8.0,6.1,11.2,,29.7,38.7,32.8,40.1,16.0,23.2,
,,,Jetafe,,,,,,,50.1,,60.1,,43.5,,7.7,4.8,6.5,,43.8,56.5,55.4,64.9,38.9,48.1,
,,,Lila,,,,,,,36.6,,42.6,,19.6,,11.1,8.9,14.4,,29.9,43.3,36.3,48.9,15.0,24.3,
,,,Loay,,,,,,,29.7,,28.4,,19.3,,11.5,10.4,11.3,,24.1,35.4,23.5,33.2,15.7,22.9,
,,,Loboc,,,,,,,26.0,,32.8,,21.5,,10.5,8.7,10.4,,21.5,30.5,28.1,37.5,17.8,25.2,
,,,Loon,,,,,,,39.4,,38.8,,22.0,,7.6,5.6,7.3,,34.5,44.3,35.2,42.3,19.3,24.6,
,,,Mabini,,,,,,,46.5,,58.4,,46.8,,8.5,5.5,7.4,,40.0,52.9,53.1,63.7,41.0,52.5,
,,,Maribojoc,,,,,,,25.2,,24.9,,17.3,,13.6,11.7,13.4,,19.6,30.8,20.1,29.7,13.5,21.1,
,,,Panglao,,,,,,,30.2,,33.3,,16.4,,15.1,12.5,17.4,,22.7,37.7,26.4,40.1,11.7,21.0,
,,,Pilar,,,,,,,62.2,,67.1,,38.8,,6.5,5.8,7.3,,55.5,68.8,60.7,73.4,34.2,43.4,
,,,Pres. Carlos P. Garcia,,,,,,,49.8,,62.1,,51.8,,7.6,5.9,6.9,,43.6,56.0,56.0,68.1,45.9,57.7,
,,,Sagbayan,,,,,,,57.1,,48.8,,24.0,,10.6,7.7,10.9,,47.2,67.0,42.6,55.0,19.7,28.3,
,,,San Isidro,,,,,,,47.8,,64.0,,44.9,,10.9,7.6,9.9,,39.2,56.4,56.0,72.0,37.6,52.2,
,,,San Miguel,,,,,,,64.2,,53.6,,42.7,,6.0,7.6,8.9,,57.9,70.5,46.9,60.3,36.5,48.9,
,,,Sevilla,,,,,,,59.9,,52.2,,31.7,,7.5,6.9,9.9,,52.5,67.3,46.3,58.2,26.6,36.9,
,,,Sierra Bullones,,,,,,,47.7,,54.4,,35.1,,8.4,7.9,9.4,,41.2,54.3,47.3,61.4,29.6,40.5,
,,,Sikatuna,,,,,,,38.0,,45.9,,29.0,,14.8,10.3,13.0,,28.7,47.2,38.1,53.7,22.8,35.2,
,,,Tagbilaran City,,,,,,,10.4,,11.0,,7.9,,18.3,19.5,18.5,,7.3,13.6,7.5,14.6,5.5,10.2,
,,,Talibon,,,,,,,43.9,,51.4,,36.4,,8.7,6.2,7.4,,37.6,50.1,46.2,56.6,31.9,40.8,
,,,Trinidad,,,,,,,57.9,,56.6,,39.7,,7.0,6.7,7.8,,51.3,64.6,50.4,62.8,34.6,44.8,
,,,Tubigon,,,,,,,41.5,,37.4,,26.7,,7.7,6.8,7.9,,36.2,46.7,33.2,41.5,23.2,30.2,
,,,Ubay,,,,,,,57.2,,50.1,,39.6,,5.7,5.8,5.5,,51.9,62.5,45.3,54.9,36.1,43.2,
,,,Valencia,,,,,,,43.0,,50.4,,28.5,,6.8,5.7,8.0,,38.2,47.8,45.7,55.2,24.8,32.2,
,,,Bien Unido,,,,,,,45.2,,63.7,,48.8,,10.3,6.2,7.3,,37.5,52.8,57.2,70.3,43.0,54.6,
Cebu,,,Alcantara,,,,,,,47.9,,51.2,,34.0,,13.2,8.8,12.5,,37.5,58.4,43.7,58.6,27.1,41.0,
,,,Alcoy,,,,,,,53.0,,47.1,,24.5,,11.2,10.9,18.0,,43.3,62.7,38.6,55.5,17.3,31.8,
,,,Alegria,,,,,,,62.7,,62.4,,40.0,,8.0,7.5,13.0,,54.4,70.9,54.6,70.1,31.4,48.5,
,,,Aloguinsan,,,,,,,61.7,,49.4,,29.1,,9.8,9.9,12.5,,51.7,71.7,41.3,57.4,23.1,35.1,
,,,Argao,,,,,,,41.7,,43.6,,24.7,,6.0,5.4,9.1,,37.5,45.8,39.7,47.4,21.0,28.4,
,,,Asturias,,,,,,,52.3,,44.2,,30.8,,8.8,7.9,10.5,,44.7,59.8,38.5,49.9,25.4,36.1,
,,,Badian,,,,,,,60.5,,53.5,,38.3,,5.8,5.9,7.9,,54.6,66.3,48.2,58.7,33.3,43.3,
,,,Balamban,,,,,,,41.6,,37.6,,20.0,,8.9,9.2,11.6,,35.5,47.7,31.9,43.3,16.2,23.9,
,,,Bantayan,,,,,,,48.9,,55.1,,36.0,,6.9,5.5,7.0,,43.3,54.4,50.2,60.1,31.9,40.2,
,,,Barili,,,,,,,51.3,,40.7,,26.4,,6.6,6.5,8.4,,45.7,56.9,36.3,45.0,22.8,30.1,
,,,Bogo City,,,,,,,37.7,,37.0,,20.2,,8.7,8.5,12.0,,32.3,43.0,31.8,42.1,16.2,24.1,
,,,Boljoon,,,,,,,52.1,,48.6,,33.6,,11.0,9.0,12.3,,42.6,61.5,41.4,55.8,26.8,40.4,
,,,Borbon,,,,,,,51.2,,43.7,,27.4,,8.1,7.8,11.6,,44.4,58.1,38.1,49.3,22.2,32.7,
,,,Carcar City,,,,,,,35.0,,27.2,,17.0,,12.0,13.1,14.2,,28.1,41.9,21.3,33.1,13.0,21.0,
,,,Carmen,,,,,,,32.6,,31.4,,20.0,,10.6,10.2,12.0,,26.9,38.3,26.1,36.6,16.0,23.9,
,,,Catmon,,,,,,,43.7,,39.9,,27.5,,8.8,9.6,9.4,,37.4,50.0,33.6,46.2,23.2,31.7,
,,,Cebu City,,,,,,,14.5,,13.9,,6.8,,13.0,10.7,15.3,,11.4,17.6,11.5,16.4,5.1,8.5,
,,,Compostela,,,,,,,29.0,,27.8,,18.2,,13.8,14.5,15.5,,22.4,35.6,21.1,34.4,13.6,22.8,
,,,Consolacion,,,,,,,22.7,,17.4,,9.3,,15.1,18.0,22.0,,17.1,28.4,12.3,22.6,5.9,12.6,
,,,Cordoba,,,,,,,29.0,,25.9,,14.3,,15.9,14.7,17.7,,21.4,36.6,19.6,32.2,10.1,18.5,
,,,Daanbantayan,,,,,,,42.1,,42.9,,28.4,,7.7,7.4,10.7,,36.8,47.4,37.7,48.1,23.4,33.3,
,,,Dalaguete,,,,,,,54.2,,55.6,,42.3,,6.7,5.4,7.6,,48.2,60.1,50.7,60.5,37.0,47.6,
,,,Danao City,,,,,,,30.7,,31.6,,16.6,,10.5,9.0,10.0,,25.4,36.1,26.9,36.2,13.9,19.3,
,,,Dumanjug,,,,,,,48.0,,47.6,,33.2,,7.3,6.6,8.2,,42.3,53.8,42.5,52.8,28.7,37.7,
,,,Ginatilan,,,,,,,41.5,,58.0,,40.5,,11.5,6.9,8.0,,33.6,49.4,51.4,64.6,35.1,45.8,
,,,Lapu-Lapu City,,,,,,,16.6,,19.6,,9.1,,14.2,12.2,19.3,,12.8,20.5,15.7,23.6,6.2,12.0,
,,,Liloan,,,,,,,22.0,,18.0,,10.5,,17.8,17.3,21.6,,15.5,28.4,12.9,23.0,6.8,14.3,
,,,Madridejos,,,,,,,45.1,,50.6,,36.3,,8.8,8.0,8.8,,38.5,51.7,43.9,57.3,31.0,41.5,
,,,Malabuyoc,,,,,,,59.4,,50.7,,37.1,,8.1,8.4,10.3,,51.5,67.3,43.7,57.7,30.9,43.4,
,,,Mandaue City,,,,,,,14.5,,14.1,,5.5,,17.4,14.4,21.9,,10.3,18.6,10.7,17.4,3.5,7.5,
,,,Medellin,,,,,,,39.6,,35.8,,23.9,,10.9,9.0,11.4,,32.5,46.6,30.5,41.1,19.4,28.4,
,,,Minglanilla,,,,,,,25.9,,20.4,,9.7,,14.7,13.4,19.2,,19.6,32.1,15.9,24.9,6.6,12.7,
,,,Moalboal,,,,,,,45.0,,48.9,,27.9,,10.0,6.9,11.4,,37.6,52.4,43.4,54.5,22.6,33.1,
,,,Naga City,,,,,,,31.4,,27.1,,17.2,,9.1,8.7,13.0,,26.7,36.1,23.2,31.0,13.5,20.9,
,,,Oslob,,,,,,,55.1,,50.9,,40.4,,7.3,6.8,8.9,,48.4,61.7,45.2,56.5,34.5,46.4,
,,,Pilar,,,,,,,42.7,,48.9,,30.8,,11.0,9.0,13.5,,35.0,50.4,41.6,56.1,24.0,37.6,
,,,Pinamungahan,,,,,,,41.6,,46.4,,25.7,,8.6,7.1,9.6,,35.7,47.4,40.9,51.8,21.7,29.8,
,,,Poro,,,,,,,49.3,,45.1,,30.1,,9.1,9.1,9.4,,41.9,56.6,38.3,51.9,25.4,34.7,
,,,Ronda,,,,,,,57.3,,46.5,,32.7,,7.2,8.4,10.9,,50.4,64.1,40.1,52.9,26.8,38.6,
,,,Samboan,,,,,,,49.5,,53.1,,31.7,,9.9,7.5,11.6,,41.4,57.5,46.5,59.6,25.7,37.8,
